radius,mean_magnitude
3.8649741266921827,6142.720871096946
11.594922380076548,2699.636922363333
19.324870633460915,1069.0527459608159
27.05481888684528,702.7253859785213
34.78476714022965,814.048710058737
42.51471539361401,669.1437282604492
50.244663646998376,452.4713106240846
57.97461190038274,423.8673594180395
65.7045601537671,362.051101914818
73.43450840715147,310.72361549397243
81.16445666053585,291.2791360855711
88.8944049139202,248.22962728141195
96.62435316730458,244.51881844443335
104.35430142068893,253.93543341319287
112.0842496740733,244.997194143685
119.81419792745766,249.25340288948186
127.54414618084203,227.06687067751432
135.2740944342264,241.03295742342385
143.00404268761076,234.78696386700045
150.7339909409951,210.10367812221435
158.4639391943795,193.5243159471885
166.19388744776387,170.14334678075386
173.92383570114822,144.88820790082016
181.65378395453257,139.18487011634676
189.38373220791695,121.64504219795246
197.11368046130133,108.21972231520498
204.84362871468568,110.33845106771986
212.57357696807003,104.21944026400257
220.3035252214544,98.12581405475777
228.0334734748388,90.13934454846166
235.76342172822314,83.28050789994967
243.4933699816075,78.98248290657078
251.2233182349919,73.98658343339235
258.95326648837624,68.9510646281029
266.6832147417606,63.507495179777884
274.41316299514494,58.24689006571488
282.14311124852935,54.09576678728896
289.8730595019137,50.93150961693113
297.60300775529805,49.76709369566726
305.33295600868246,49.22392755819744
313.0629042620668,44.39971285586145
320.79285251545116,43.52837666948009
328.5228007688355,42.44911816014949
336.25274902221986,39.77745694464786
343.98269727560427,36.08037629185018
351.7126455289886,37.504190944978745
359.44259378237297,38.25255778436695
367.1725420357574,38.462930361344235
374.9024902891417,37.09881657830828
382.6324385425261,36.1364398913291
390.3623867959104,36.32113986916962
398.09233504929483,34.57619449477444
405.8222833026792,32.434135589372126
413.55223155606353,31.49830679613852
421.28217980944794,32.17635689054641
429.0121280628323,32.616910963051865
436.74207631621664,31.306951130157668
444.472024569601,30.641493041983463
452.20197282298534,27.897913157223357
459.93192107636975,27.088846765150123
467.6618693297541,26.203213692233096
475.39181758313845,25.67402003320321
483.12176583652285,25.05317857826638
490.8517140899072,23.672908574023726
498.58166234329155,23.80026945752193
506.3116105966759,22.83660880981493
514.0415588500603,19.209239943853188
521.7715071034447,18.1052791200403
529.501455356829,17.201602803459718
537.2314036102134,15.951274564086754
544.9613518635977,14.433936557835514
552.6913001169821,14.104802126713185
560.4212483703666,13.679572593606219
568.1511966237508,13.505845816485381
575.8811448771353,13.245865062178988
583.6110931305195,10.95043669142566
591.341041383904,9.52487213263581
599.0709896372882,9.086629517391863
606.8009378906727,8.923276625403913
614.530886144057,8.736380283438027
622.2608343974414,8.52898334264366
629.9907826508258,8.345886276620558
637.7207309042101,8.609096971656625
645.4506791575945,8.535341661371154
653.1806274109788,8.617783873705756
660.9105756643633,8.433170615652209
668.6405239177476,8.61827171968615
676.370472171132,8.491588358037557
684.1004204245164,8.205383773354566
691.8303686779007,8.135807474437982
699.5603169312851,8.144817800079151
707.2902651846694,8.121683630909393
715.0202134380538,8.413531675984181
722.750161691438,9.222279768876383
730.4801099448225,9.771703270170377
738.210058198207,10.262929612977931
745.9400064515912,10.013878587855526
753.6699547049757,11.183150437077108
761.3999029583599,9.072689786870615
769.1298512117444,8.275540442030987
