state,to_move,layer,P(X wins),P(O wins),P(draws)
XOXXOO.OX,X,8,0.0000000000,1.0000000000,0.0000000000
XOXXOO..X,O,7,0.0000000000,0.5000000000,0.5000000000
XOXXOO...,X,6,0.5000000000,0.1666666667,0.3333333333
XOXXOXOO.,X,8,0.0000000000,1.0000000000,0.0000000000
XOXXOXOXO,O,9,0.0000000000,0.0000000000,1.0000000000
XOXXOXO.O,X,8,0.0000000000,0.0000000000,1.0000000000
XOXXOXO..,O,7,0.0000000000,0.5000000000,0.5000000000
XOXXO.OXO,X,8,0.0000000000,0.0000000000,1.0000000000
XOXXO.OX.,O,7,0.0000000000,0.0000000000,1.0000000000
XOXXO.OOX,X,8,0.0000000000,1.0000000000,0.0000000000
XOXXO.O.X,O,7,0.0000000000,0.5000000000,0.5000000000
XOXXO.O..,X,6,0.0000000000,0.3333333333,0.6666666667
XOXXO..O.,X,6,0.0000000000,1.0000000000,0.0000000000
XOXXOX.OO,X,8,0.0000000000,1.0000000000,0.0000000000
XOXXOX..O,O,7,0.0000000000,0.5000000000,0.5000000000
XOXXO.X.O,O,7,1.0000000000,0.0000000000,0.0000000000
XOXXO..XO,O,7,0.5000000000,0.0000000000,0.5000000000
XOXXO...O,X,6,0.5000000000,0.1666666667,0.3333333333
XOXXO....,O,5,0.2500000000,0.4166666667,0.3333333333
XOX.OXOXO,X,8,0.0000000000,0.0000000000,1.0000000000
XOX.OXOX.,O,7,0.5000000000,0.0000000000,0.5000000000
XOX.OXO.X,O,7,1.0000000000,0.0000000000,0.0000000000
XOX.OXO..,X,6,0.5000000000,0.1666666667,0.3333333333
XOX.OX.O.,X,6,0.0000000000,1.0000000000,0.0000000000
XOX.OXXOO,X,8,0.0000000000,1.0000000000,0.0000000000
XOX.OXX.O,O,7,0.0000000000,0.5000000000,0.5000000000
XOX.OX.XO,O,7,0.0000000000,0.0000000000,1.0000000000
XOX.OX..O,X,6,0.0000000000,0.3333333333,0.6666666667
XOX.OX...,O,5,0.2500000000,0.4166666667,0.3333333333
XOX.OOXXO,X,8,1.0000000000,0.0000000000,0.0000000000
XOX.OOXX.,O,7,0.5000000000,0.5000000000,0.0000000000
XOX.OOXOX,X,8,0.0000000000,1.0000000000,0.0000000000
XOX.OOX.X,O,7,0.0000000000,1.0000000000,0.0000000000
XOX.OOX..,X,6,0.5000000000,0.5000000000,0.0000000000
XOX.O.XO.,X,6,0.0000000000,1.0000000000,0.0000000000
XOX.O.XXO,O,7,0.5000000000,0.0000000000,0.5000000000
XOX.O.X.O,X,6,0.5000000000,0.1666666667,0.3333333333
XOX.O.X..,O,5,0.2500000000,0.5833333333,0.1666666667
XOX.OOOXX,X,8,0.0000000000,0.0000000000,1.0000000000
XOX.OO.XX,O,7,0.0000000000,0.5000000000,0.5000000000
XOX.OO.X.,X,6,0.3333333333,0.3333333333,0.3333333333
XOX.O.OXX,O,7,0.5000000000,0.0000000000,0.5000000000
XOX.O.OX.,X,6,0.3333333333,0.0000000000,0.6666666667
XOX.O..XO,X,6,0.3333333333,0.0000000000,0.6666666667
XOX.O..X.,O,5,0.3333333333,0.1666666667,0.5000000000
XOX.OO..X,X,6,0.0000000000,0.6666666667,0.3333333333
XOX.O.O.X,X,6,0.5000000000,0.1666666667,0.3333333333
XOX.O..OX,X,6,0.0000000000,1.0000000000,0.0000000000
XOX.O...X,O,5,0.2500000000,0.5833333333,0.1666666667
XOX.O....,X,4,0.2666666667,0.4333333333,0.3000000000
XOXXXOOOX,O,9,1.0000000000,0.0000000000,0.0000000000
XOXXXOOO.,X,8,1.0000000000,0.0000000000,0.0000000000
XOXXXOOXO,O,9,0.0000000000,0.0000000000,1.0000000000
XOXXXOO.O,X,8,0.0000000000,0.0000000000,1.0000000000
XOXXXOO..,O,7,0.5000000000,0.0000000000,0.5000000000
XOXX.OOXO,X,8,0.0000000000,0.0000000000,1.0000000000
XOXX.OOX.,O,7,0.0000000000,0.0000000000,1.0000000000
XOXX.OOOX,X,8,1.0000000000,0.0000000000,0.0000000000
XOXX.OO.X,O,7,0.5000000000,0.0000000000,0.5000000000
XOXX.OO..,X,6,0.3333333333,0.0000000000,0.6666666667
XOXXXOXOO,O,9,1.0000000000,0.0000000000,0.0000000000
XOXXXO.OO,X,8,1.0000000000,0.0000000000,0.0000000000
XOXXXO.O.,O,7,1.0000000000,0.0000000000,0.0000000000
XOXX.OXO.,O,7,1.0000000000,0.0000000000,0.0000000000
XOXX.O.OX,O,7,0.5000000000,0.5000000000,0.0000000000
XOXX.O.O.,X,6,0.8333333333,0.1666666667,0.0000000000
XOXXXO..O,O,7,0.5000000000,0.0000000000,0.5000000000
XOXX.OX.O,O,7,1.0000000000,0.0000000000,0.0000000000
XOXX.O.XO,O,7,0.5000000000,0.0000000000,0.5000000000
XOXX.O..O,X,6,0.6666666667,0.0000000000,0.3333333333
XOXX.O...,O,5,0.5833333333,0.0833333333,0.3333333333
XOX.XOOXO,X,8,0.0000000000,0.0000000000,1.0000000000
XOX.XOOX.,O,7,0.5000000000,0.0000000000,0.5000000000
XOX.XOO.X,O,7,1.0000000000,0.0000000000,0.0000000000
XOX.XOO..,X,6,0.6666666667,0.0000000000,0.3333333333
XOX.XOXO.,O,7,1.0000000000,0.0000000000,0.0000000000
XOX.XO.OX,O,7,1.0000000000,0.0000000000,0.0000000000
XOX.XO.O.,X,6,1.0000000000,0.0000000000,0.0000000000
XOX.XOX.O,O,7,1.0000000000,0.0000000000,0.0000000000
XOX.XO.XO,O,7,0.5000000000,0.0000000000,0.5000000000
XOX.XO..O,X,6,0.6666666667,0.0000000000,0.3333333333
XOX.XO...,O,5,0.8333333333,0.0000000000,0.1666666667
XOX..OXOX,O,7,0.5000000000,0.5000000000,0.0000000000
XOX..OXO.,X,6,0.8333333333,0.1666666667,0.0000000000
XOX..OXXO,O,7,1.0000000000,0.0000000000,0.0000000000
XOX..OX.O,X,6,1.0000000000,0.0000000000,0.0000000000
XOX..OX..,O,5,0.7500000000,0.2500000000,0.0000000000
XOX..OOXX,O,7,0.5000000000,0.0000000000,0.5000000000
XOX..OOX.,X,6,0.3333333333,0.0000000000,0.6666666667
XOX..O.XO,X,6,0.6666666667,0.0000000000,0.3333333333
XOX..O.X.,O,5,0.5000000000,0.1666666667,0.3333333333
XOX..OO.X,X,6,0.6666666667,0.0000000000,0.3333333333
XOX..O.OX,X,6,0.6666666667,0.3333333333,0.0000000000
XOX..O..X,O,5,0.5000000000,0.3333333333,0.1666666667
XOX..O...,X,4,0.6333333333,0.1666666667,0.2000000000
XOXXX.OOO,X,8,0.0000000000,1.0000000000,0.0000000000
XOXXX.OO.,O,7,0.5000000000,0.5000000000,0.0000000000
XOXX.XOOO,X,8,0.0000000000,1.0000000000,0.0000000000
XOXX.XOO.,O,7,0.0000000000,1.0000000000,0.0000000000
XOXX..OOX,O,7,0.5000000000,0.5000000000,0.0000000000
XOXX..OO.,X,6,0.3333333333,0.6666666667,0.0000000000
XOXXX.O.O,O,7,0.0000000000,0.5000000000,0.5000000000
XOXX.XO.O,O,7,0.0000000000,0.5000000000,0.5000000000
XOXX..OXO,O,7,0.0000000000,0.0000000000,1.0000000000
XOXX..O.O,X,6,0.0000000000,0.3333333333,0.6666666667
XOXX..O..,O,5,0.1666666667,0.3333333333,0.5000000000
XOX.XXOOO,X,8,0.0000000000,1.0000000000,0.0000000000
XOX.XXOO.,O,7,0.5000000000,0.5000000000,0.0000000000
XOX.X.OOX,O,7,1.0000000000,0.0000000000,0.0000000000
XOX.X.OO.,X,6,0.6666666667,0.3333333333,0.0000000000
XOX.XXO.O,O,7,0.0000000000,0.5000000000,0.5000000000
XOX.X.OXO,O,7,0.0000000000,0.0000000000,1.0000000000
XOX.X.O.O,X,6,0.0000000000,0.3333333333,0.6666666667
XOX.X.O..,O,5,0.5000000000,0.1666666667,0.3333333333
XOX..XOOX,O,7,1.0000000000,0.0000000000,0.0000000000
XOX..XOO.,X,6,0.5000000000,0.5000000000,0.0000000000
XOX..XOXO,O,7,0.0000000000,0.0000000000,1.0000000000
XOX..XO.O,X,6,0.0000000000,0.3333333333,0.6666666667
XOX..XO..,O,5,0.4166666667,0.2500000000,0.3333333333
XOX...OXO,X,6,0.0000000000,0.0000000000,1.0000000000
XOX...OX.,O,5,0.3333333333,0.0000000000,0.6666666667
XOX...OOX,X,6,0.8333333333,0.1666666667,0.0000000000
XOX...O.X,O,5,0.7500000000,0.0833333333,0.1666666667
XOX...O..,X,4,0.4333333333,0.1666666667,0.4000000000
XOXXX..OO,O,7,0.5000000000,0.5000000000,0.0000000000
XOXX.X.OO,O,7,0.0000000000,1.0000000000,0.0000000000
XOXX..XOO,O,7,1.0000000000,0.0000000000,0.0000000000
XOXX...OO,X,6,0.5000000000,0.5000000000,0.0000000000
XOXX...O.,O,5,0.4166666667,0.5833333333,0.0000000000
XOX.XX.OO,O,7,0.5000000000,0.5000000000,0.0000000000
XOX.X.XOO,O,7,1.0000000000,0.0000000000,0.0000000000
XOX.X..OO,X,6,0.6666666667,0.3333333333,0.0000000000
XOX.X..O.,O,5,0.8333333333,0.1666666667,0.0000000000
XOX..XXOO,O,7,0.5000000000,0.5000000000,0.0000000000
XOX..X.OO,X,6,0.3333333333,0.6666666667,0.0000000000
XOX..X.O.,O,5,0.4166666667,0.5833333333,0.0000000000
XOX...XOO,X,6,0.8333333333,0.1666666667,0.0000000000
XOX...XO.,O,5,0.5833333333,0.4166666667,0.0000000000
XOX....OX,O,5,0.5833333333,0.4166666667,0.0000000000
XOX....O.,X,4,0.5666666667,0.4333333333,0.0000000000
XOXX....O,O,5,0.4166666667,0.2500000000,0.3333333333
XOX.X...O,O,5,0.5000000000,0.1666666667,0.3333333333
XOX..X..O,O,5,0.1666666667,0.3333333333,0.5000000000
XOX...X.O,O,5,0.7500000000,0.0833333333,0.1666666667
XOX....XO,O,5,0.3333333333,0.0000000000,0.6666666667
XOX.....O,X,4,0.4333333333,0.1666666667,0.4000000000
XOX......,O,3,0.4944444444,0.2555555556,0.2500000000
XOOXXOX..,O,7,1.0000000000,0.0000000000,0.0000000000
XOOXXOOXX,O,9,1.0000000000,0.0000000000,0.0000000000
XOOXXOOX.,X,8,1.0000000000,0.0000000000,0.0000000000
XOOXXO.XO,X,8,0.0000000000,1.0000000000,0.0000000000
XOOXXO.X.,O,7,0.5000000000,0.5000000000,0.0000000000
XOOXXO..X,O,7,1.0000000000,0.0000000000,0.0000000000
XOOXXO...,X,6,0.8333333333,0.1666666667,0.0000000000
XOOXXXO..,O,7,1.0000000000,0.0000000000,0.0000000000
XOOXXXOXO,O,9,1.0000000000,0.0000000000,0.0000000000
XOOXX.OXO,X,8,1.0000000000,0.0000000000,0.0000000000
XOOXX.OX.,O,7,1.0000000000,0.0000000000,0.0000000000
XOOXX.O.X,O,7,1.0000000000,0.0000000000,0.0000000000
XOOXX.O..,X,6,1.0000000000,0.0000000000,0.0000000000
XOOXXX.O.,O,7,1.0000000000,0.0000000000,0.0000000000
XOOXX.XO.,O,7,1.0000000000,0.0000000000,0.0000000000
XOOXX..OX,O,7,1.0000000000,0.0000000000,0.0000000000
XOOXX..O.,X,6,1.0000000000,0.0000000000,0.0000000000
XOOXXX..O,O,7,1.0000000000,0.0000000000,0.0000000000
XOOXX.X.O,O,7,1.0000000000,0.0000000000,0.0000000000
XOOXX..XO,O,7,0.5000000000,0.5000000000,0.0000000000
XOOXX...O,X,6,0.8333333333,0.1666666667,0.0000000000
XOOXX....,O,5,0.9166666667,0.0833333333,0.0000000000
XOOXOXX..,O,7,1.0000000000,0.0000000000,0.0000000000
XOOXOXOX.,X,8,0.0000000000,1.0000000000,0.0000000000
XOOXOXXXO,O,9,1.0000000000,0.0000000000,0.0000000000
XOOXOX.XO,X,8,1.0000000000,0.0000000000,0.0000000000
XOOXOX.X.,O,7,0.5000000000,0.5000000000,0.0000000000
XOOXOXO.X,X,8,0.0000000000,1.0000000000,0.0000000000
XOOXOX.OX,X,8,0.0000000000,1.0000000000,0.0000000000
XOOXOX..X,O,7,0.0000000000,1.0000000000,0.0000000000
XOOXOX...,X,6,0.5000000000,0.5000000000,0.0000000000
XOOX.XOXO,X,8,1.0000000000,0.0000000000,0.0000000000
XOOX.XOX.,O,7,0.5000000000,0.5000000000,0.0000000000
XOOXXXOOX,O,9,1.0000000000,0.0000000000,0.0000000000
XOOX.XOOX,X,8,1.0000000000,0.0000000000,0.0000000000
XOOX.XO.X,O,7,0.5000000000,0.5000000000,0.0000000000
XOOX.XO..,X,6,0.6666666667,0.3333333333,0.0000000000
XOOX.XXO.,O,7,1.0000000000,0.0000000000,0.0000000000
XOOX.X.OX,O,7,0.5000000000,0.5000000000,0.0000000000
XOOX.X.O.,X,6,0.8333333333,0.1666666667,0.0000000000
XOOX.XX.O,O,7,1.0000000000,0.0000000000,0.0000000000
XOOX.X.XO,O,7,1.0000000000,0.0000000000,0.0000000000
XOOX.X..O,X,6,1.0000000000,0.0000000000,0.0000000000
XOOX.X...,O,5,0.7500000000,0.2500000000,0.0000000000
XOOX..X..,O,5,1.0000000000,0.0000000000,0.0000000000
XOOXO.XX.,O,7,1.0000000000,0.0000000000,0.0000000000
XOOXOOXXX,O,9,1.0000000000,0.0000000000,0.0000000000
XOOXOO.XX,X,8,1.0000000000,0.0000000000,0.0000000000
XOOXO.OXX,X,8,0.0000000000,1.0000000000,0.0000000000
XOOXO..XX,O,7,0.5000000000,0.5000000000,0.0000000000
XOOXO..X.,X,6,0.6666666667,0.3333333333,0.0000000000
XOOX.OXX.,O,7,1.0000000000,0.0000000000,0.0000000000
XOOX.OOXX,X,8,1.0000000000,0.0000000000,0.0000000000
XOOX.O.XX,O,7,1.0000000000,0.0000000000,0.0000000000
XOOX.O.X.,X,6,0.8333333333,0.1666666667,0.0000000000
XOOX..OXX,O,7,0.5000000000,0.5000000000,0.0000000000
XOOX..OX.,X,6,0.6666666667,0.3333333333,0.0000000000
XOOX..XXO,O,7,1.0000000000,0.0000000000,0.0000000000
XOOX...XO,X,6,0.8333333333,0.1666666667,0.0000000000
XOOX...X.,O,5,0.7500000000,0.2500000000,0.0000000000
XOOXO.X.X,O,7,1.0000000000,0.0000000000,0.0000000000
XOOXO...X,X,6,0.5000000000,0.5000000000,0.0000000000
XOOX.OX.X,O,7,1.0000000000,0.0000000000,0.0000000000
XOOX.O..X,X,6,1.0000000000,0.0000000000,0.0000000000
XOOX..O.X,X,6,0.6666666667,0.3333333333,0.0000000000
XOOX..XOX,O,7,1.0000000000,0.0000000000,0.0000000000
XOOX...OX,X,6,0.8333333333,0.1666666667,0.0000000000
XOOX....X,O,5,0.7500000000,0.2500000000,0.0000000000
XOOX.....,X,4,0.8333333333,0.1666666667,0.0000000000
XO.XOXOXO,X,8,0.0000000000,0.0000000000,1.0000000000
XO.XOXOX.,O,7,0.0000000000,0.5000000000,0.5000000000
XO.XOXOOX,X,8,0.0000000000,1.0000000000,0.0000000000
XO.XOXO.X,O,7,0.0000000000,1.0000000000,0.0000000000
XO.XOXO..,X,6,0.0000000000,0.6666666667,0.3333333333
XO.XOX.O.,X,6,0.0000000000,1.0000000000,0.0000000000
XO.XOXX.O,O,7,1.0000000000,0.0000000000,0.0000000000
XO.XOX.XO,O,7,0.5000000000,0.0000000000,0.5000000000
