idx,cluster,ply,to_move,image
113,1,4,X,layout_moves_04ply_00012_00144_X.png
114,0,4,X,layout_moves_04ply_00012_00160_X.png
115,7,4,X,layout_moves_04ply_00012_00192_X.png
116,6,4,X,layout_moves_04ply_00012_00257_X.png
117,6,4,X,layout_moves_04ply_00012_00258_X.png
118,4,4,X,layout_moves_04ply_00012_00272_X.png
119,0,4,X,layout_moves_04ply_00012_00288_X.png
120,5,4,X,layout_moves_04ply_00012_00320_X.png
121,0,4,X,layout_moves_04ply_00012_00384_X.png
122,4,4,X,layout_moves_04ply_00017_00006_X.png
123,1,4,X,layout_moves_04ply_00017_00010_X.png
124,9,4,X,layout_moves_04ply_00017_00012_X.png
125,1,4,X,layout_moves_04ply_00017_00034_X.png
126,4,4,X,layout_moves_04ply_00017_00036_X.png
127,1,4,X,layout_moves_04ply_00017_00040_X.png
128,9,4,X,layout_moves_04ply_00017_00068_X.png
129,4,4,X,layout_moves_04ply_00017_00096_X.png
130,1,4,X,layout_moves_04ply_00017_00160_X.png
131,8,4,X,layout_moves_04ply_00017_00258_X.png
132,9,4,X,layout_moves_04ply_00017_00260_X.png
133,8,4,X,layout_moves_04ply_00017_00288_X.png
134,9,4,X,layout_moves_04ply_00018_00005_X.png
135,1,4,X,layout_moves_04ply_00018_00009_X.png
136,1,4,X,layout_moves_04ply_00018_00012_X.png
137,1,4,X,layout_moves_04ply_00018_00040_X.png
138,9,4,X,layout_moves_04ply_00018_00065_X.png
139,8,4,X,layout_moves_04ply_00018_00068_X.png
140,9,4,X,layout_moves_04ply_00018_00072_X.png
141,8,4,X,layout_moves_04ply_00018_00096_X.png
142,1,4,X,layout_moves_04ply_00018_00129_X.png
143,1,4,X,layout_moves_04ply_00018_00136_X.png
144,3,4,X,layout_moves_04ply_00018_00192_X.png
145,9,4,X,layout_moves_04ply_00018_00320_X.png
146,0,4,X,layout_moves_04ply_00040_00003_X.png
147,2,4,X,layout_moves_04ply_00040_00005_X.png
148,1,4,X,layout_moves_04ply_00040_00017_X.png
149,1,4,X,layout_moves_04ply_00040_00018_X.png
150,0,4,X,layout_moves_04ply_00040_00065_X.png
151,0,4,X,layout_moves_04ply_00040_00066_X.png
152,0,4,X,layout_moves_04ply_00040_00068_X.png
153,0,4,X,layout_moves_04ply_00040_00130_X.png
154,6,4,X,layout_moves_04ply_00068_00003_X.png
155,8,4,X,layout_moves_04ply_00068_00010_X.png
156,5,4,X,layout_moves_04ply_00068_00017_X.png
157,8,4,X,layout_moves_04ply_00068_00018_X.png
158,6,4,X,layout_moves_04ply_00068_00033_X.png
159,8,4,X,layout_moves_04ply_00068_00034_X.png
160,0,4,X,layout_moves_04ply_00068_00040_X.png
161,6,4,X,layout_moves_04ply_00068_00257_X.png
162,4,5,O,layout_moves_05ply_00011_00020_O.png
163,0,5,O,layout_moves_05ply_00011_00036_O.png
164,1,5,O,layout_moves_05ply_00011_00048_O.png
165,6,5,O,layout_moves_05ply_00011_00068_O.png
166,0,5,O,layout_moves_05ply_00011_00096_O.png
167,0,5,O,layout_moves_05ply_00011_00160_O.png
168,5,5,O,layout_moves_05ply_00011_00260_O.png
